Original_Value,Scrambled_Value
HR Surplus Transition Portal,HsaStlr upsrralPi Ttu oinoRn
MIP NG,MGN IP
SMART/AWATCH,WA/AAHSMTTCR
MPS-LDAP,APDP-LSM
GRP-MAD,PMRDGA-
OBSMS,SSBOM
DOE,DOE
OGSI - AP/CE, O/-P IECASG
NOWPROBEINTERFACE,EOTNBROCAWERPFENI
MOPT,TOMP
Connect,Coctenn
CombinedOPSDB-NOW,bnoDBeNSOiCP-mdOW
Cricket MyCricket App,Ayeip kctprtMC kicreC
CCOSN,CCSNO
AFO-PCM,MP-AOCF
ATS-TAX,TXTA-SA
DEITOOLS,OOSLEDTI
CogCore,oCCgero
TT - C, TC -T
CCPT,CPCT
NOWEntDiscoOnPrem,nDsPcentOrWONEmoi
SNILOG,LSIOGN
tCMDB,tDCBM
NOWDevOpsSPInteg,eDesnOStWIgPpNvO
AE-M,AEM-
GRP-NAAM,G-MNAAPR
NSPCASFHG,SHSFNPAGC
VTNS,NVST
WFABilling ASI, BAFniiSlAWlIg
vUSP - vCTS,PU-SvTvC S 
DCS PL20,02SPCDL 
EFFS-iDBE-EVO-PROD,-OPE-EFVFDD-OESRiB
NOWSGC-TNI-IZE,CSG-NW-NITOIZE
SAIGE,EAGSI
SAART,TAASR
NCD-EFLOW,NEDL-WFCO
CC Tools, CoTolsC
TIRKS jX,RjTXSK I
AT&T LiveFX CMS,LTCMAXSe iF&T v
NOWCLOUDBANDUSP,SCUNPBLDDONOUAW
CSSAS,SSASC
GRP-PM3,PP-GMR3
APSUPPLIER,PRPLSEPAUI
ITSDT,TTDIS
MECHSO,SEOCHM
H:AI,AH:I
SOG,SOG
TXEM,XETM
ATCS ASTS-ONLINE,E-ANTSCO STNISAL
WP-WCM,P-WWMC
ScanME,EnMSac
CAPS,CAPS
NSEP-AS,PAE-SNS
CLEC GUI,GCIUE CL
MTPS,TMSP
DISCRS,CISRSD
TTF,FTT
ECA,EAC
GO-BAG,OBG-GA
DHRM,MDHR
DEEP Eng Ingest,EgneEtIsnEDg P 
FACTORS,FCARSTO
GRP-NIS-SATTERLEE-FRANCIS,NLRCATSESIGT-PRNEREFS-IA-
vNSP,vPNS
NetMinder NTM, MtdrTeNenMNi
GRE D&C - Procore,-e&  orEPoGcCRD r
PIZCP-RTC,PIZCR-TCP
RAIN,NRAI
SIRTS,SRSTI
BOCABS,ABCSOB
GRP-EAIP,IAP-PREG
ACP-TMF637,-FA6PMC3T7
KONG,KNGO
GenAIAux,nuAIGxeA
ATTLD,LDTTA
MOBNT-BSA,BSBOTMAN-
TOS Tools,lSsOT Too
ATTCOMM-OMT-UTIL,TLMOUTTAMC--MITO
Xpanse,espnXa
fPAS,PSAf
ACA,AAC
ordlnk,odnlrk
IDP-Cloud-CPAC,ldPoCPADCIu-C-
PGIC,PIGC
CPF-cNF,PcFFN-C
OASISAudit,tduIASSOAi
Planview,wavelPni
IPPT,PITP
MIREA,IAMER
NOWTNVGP,TNGVPWON
LBPOC,LOBCP
CSVT,TCVS
MASH,HAMS
PFPT,PTFP
NM,NM
CMI,CMI
GRP- CQE Org,OQ-rRgPC E G
iscdemoctr,secrioctdm
CID,CID
SN INC CBUS,SNCSBU I NC
SN CM IGA,SMC NIG A
IDP-Coverage-Map-Cloud,--vCaIpdogeolaMCerDPu-
NOWATTNOWITOMABS,SMOWOTABTTNINAOW
NOWtCMDBCA,DCOWNMBCtA
HR JRULES,LSERJ HUR
HR Journey Accelerator,ecJRnceuoryaAol eHrrt 
SN HR-MGR-HUB,-GS-UMHRHN BR
HR Core Data Integrations,gtnnto taiaDaseReI roHCr 
GT3 Tipster2,r32i GTtepTs
STIBO,SOIBT
NICE CLOUD WFM NPM,F C UDMCNLPMN OIWE
vpns,vpns
TMT,TMT
BBox,BoBx
HR Journey Designer,H eDRrongsieu yrnJe
RAT,ART
SwiftTrac,ctwfraTSi
Leafmgr,mfregaL
pUSP -pPCM,pCU-S MPpP
pUSP - pMGC-8, MPU8pS-GC-p 
DTV CS&P,&V DTPSC
"CSI Toolkit Factory, TKF","Ctct S lo ,aTyoKkFrFIioT"
DaFi EMS,MSE FiaD
GTO-iSupport,pTtpruSGOo-i
MFKF2,M2FFK
ICIRA,RCIAI
CVE,EVC
DREAM,MDREA
WIRANOP,NIPAOWR
CCAL,CALC
Motorola FNRR Solution,oFoultnrlSio RMtoaNo R
Costpoint,tstCoinpo
BCIM,IBMC
Auric,criuA
NPWT,TNWP
MOB-CALEA-INTELLIGO,ELIBCIENAMOGT--LLOA
SN DEI,SNI ED
MOB-CALEA-GDF,BLMOA-DAC-FEG
TS Tracker,cSak reTrT
LEIS,EISL
"CCR-LDAP, CCR-L","-C-P,DRLCCRA CL"
SAMS,SAMS
IDP Web Self Support, WSPDoSubIp t elrepf
FNNOW,NFOWN
(FED) - EDGE,DEE-E( )DFG 
iSTARS,STRAiS
GRP-IOT Testing Product Development,eprlT ieTcuevonIPtodPtRt g m-nsGeDO
OBM - S,-OMSB  
CCA-SP,-ASPCC
ABTQT,TQBTA
OTT,TOT
SR TRACKER, TAERKSRCR
OCS-SS,OSSC-S
ETT,TET
FRCS,FRCS
(FED) - BBNMS-LS,M(-S)B  DNLEFSB-
MCDB,MDBC
BMP Reports,PeMrsptoBR 
FBBSERV,ERSFBVB
(FED) - QUAL,(F-)UAED Q L
SVU,VUS
(FED) - COMS,)EM S-CFO( D
GTAC,CATG
OTSM,SOTM
CSON-Lab,OaN-CSLb
DPSS WEB,BWDEPS S
TARP,RAPT
MCEP,PCEM
GRANITE,EGIRTAN
MTEL,EMTL
ACM-ACS,A-ACCSM
Cricket Cellhelmet,eitCktele lCrehmlc
Cricket Alphacomm,mCkchtA eapmlorci
CorpFin-EDMCS,DCFponCMirS-E
MSSS,SSSM
Cricket PPP, tcPPekCriP
INC,NCI
VHO,HOV
ACT Tool,oTToC Al
NFM-NAVIS,VNMFNIAS-
BR-AUSF,SFUARB-
REACT,TCERA
TAC_Plus,sTP_uCAl
FNCOMPHSS,NMOSHFCSP
STCL,TCLS
CloudPSJ,PlJSoCud
FN SeGW,FNWe SG
netac-web,wa-beecnt
NR-NRF,FR-NRN
LCMDB,CBMDL
CONEXUS,SCNUXEO
Ribbon-MV-Jump,Ruo-mbb-iMnVpJ
Zamfir OPS_TOOLS,iLO PSZfOO_mSTar
DSAS,SADS
Ribbon-VNI-SWe-DSI-Prod,VDIoS-Ne-Rdo-nWIPbbi-rS
Ribbon-NTN-SWe-PSX-Prod,SNX--P-bTRSnor-bPdWeiNo
CLASH,SHCLA
Fraud-ORN,rNudaF-RO
ATCS DTOSS,SAOSTDC ST
iTrack,cTarki
NOWR,ROWN
NOWOVALSLocValid,oSViNOLVOalcWLdA
VAIL,VALI
CFAS-APIP,-CPFIAPSA
VVM,MVV
MKT-BCL-CIS,-BKMSLCCT-I
GRP-JY,RYGJP-
FACONV,FAONVC
AOG,AGO
eCDW Ver,V reWCeD
EAI,AIE
MS JS (Non MIPT),nSoTS IPN) J(MM 
PEG_INFRA,GEFN_PARI
BOOM DN,NOOM DB
VPN,NVP
CS-IntArcher,Aet-CnSrcIrh
NOW SIF,I SWNOF
DOTS,TSDO
CHIP,IHPC
FABS,FSBA
Platform DevOps Scan,aevn OfSps ltDomPcar
NOWUser Access Portal,WeUN ssAotcOscPlr rea
BPI AM, PBMAI
PCloud,lPuCod
PiP,PPi
WCS - ACIS,- WSCAI SC
SnowMirrorPerfAPI,AMfPrIiroeSorPnrw
RAPS Corporate,otarCP AeoRSrp
ISOM,SMIO
NOKIA-SAM-SIAD-MT-LAB,A-O-DNIMATBSIAAM-KL-S
GFP-CPE-S,P-GSECP-F
TMPS/VMMS (BUS SIMP),ITMSV/)MP( SMPSBM US
NC-USR,-UCRSN
NOWCMDBCAT,BOCTMNWDAC
USP-iDBE-EVO-PROD,DOOBEPVUE--i-RDPS
CNAM-F5-vDBE-LABS,AL5A-FECS-vM-BBND
NVANLU,UNALNV
NOWVAITSM,NOIWMSAVT
MBILAKE,IAKELBM
OGSI - GL,SIO  -LGG
GCSM,CMGS
GETHOSTNAME,HAOTNEGMTES
BSSe-MMap,-BMSSepMa
NRIS,SIRN
NISE-NTAM,I-NMTNSAE
CCWEB,CBCEW
Name Manager,gMreanaeNam 
TWS,STW
BPP - CKT VOICE,CBPOTP C -EIKV 
ADRM,DARM
ImE FLEX,L EmEIFX
NACM,AMNC
GALAXY ACS,AL AXSGACY
GRP-RM1,-GPMRR1
NDaaS,aSDNa
gotama,mtgaoa
LDBR,LRBD
NRD,NRD
WSC/DSS,/SCWDSS
A8WEB,BWEA8
LKX,KXL
NOWStream,tremNaSWO
ACAS,ACAS
MOBNT-FlowLogic,FTM-lwNOoLBcgoi
CLDP,PDCL
JOY,JYO
NOPRWM,PWNORM
ISPCM,SIPMC
CASH,ASHC
BVoIP vMRF,RMVoFBIvP 
PINC,CINP
ALLOY-NSAS,S-LNOLAYSA
defacto,doceatf
GBVSAA,VAASBG
TRT,TRT
(FED) - EDF,FDD(EE F) -
SN GWS-WC,N SWCSGW-
ARTI,AIRT
MavBridge,gBdMraevi
FMSYS (GFP), M)FFSYP(SG
GRP-MCOM-PLATFORM,G--MFPLOMRRCTMPOA
CM,MC
OON-SDN,OON-DSN
BMSi,iMBS
POCITS,IOTPCS
SMSRA,SAMSR
UZ DT,TDZU 
PIZCP-SOC,SPOI-CCPZ
Reward Center,arCe wrtedeRn
Copyright Infringement,iem IgtChproenifytnngr
PowerP,oewrPP
USPe NSP,NSePPS U
rgtacrpts,rpgtsrtac
ATSMULE,ETUALMS
DEICC,DECCI
EIPAM,MPIAE
ABS-Suite,e-iBtAuSS
NOWtCMDBXP,MDXCONtBPW
SDDA - Aurora,Aar Du SDAro-
GRP-TechM-Snowbird-ST,TMre-dhTSGwP-biScno-R
NOWRM,WORMN
SMRT-CC,CRMT-CS
EV,EV
NOWPPM,WMPONP
NRAODS,NOADRS
ASC/DSS,/SDSCAS
HCEV-5G,5ECV-GH
METASYS,TASMSEY
OTF,OFT
iASCEW,ECWSiA
METL,MELT
(FED) - AOTS-NEISA,AOD -N(-ITEAFSES) 
GRP-Amp - GRP-Data360,-P 6-pmRa aDR3GGPtA0-
ATS USS,TASSU S
GRP-IBM Feature Management,ePeaRI r nGegBaneFa-MmtMtu
SX,SX
NBNC,NBNC
ARCS,SARC
Cricket AdCenter,tACceidnerktC er
FND1.5H&B,DH1.N&BF5
Guardium,mrGiaduu
BRIX - USP/vUSP,S-v BPSRUXI/PU 
EBTA,EATB
GRP-CDO-DATA-GENAI-ARCH,T-DGADRI-NACO-CR-GAPHAE
Cisco DNAC,s NoCAcDCi
COMO,OCOM
MPA,PMA
AXESSPT,EATSXPS
ERP EPIC TRCK,PPCERK CRIE T
STI AEIS,ATISSI E
Everbridge,erbEdeivgr
PSDW,PSDW
JMeter,eJterM
CEOD,DCOE
AutoTicketing,iukctteinTogA
FRM,MRF
wifi-saas-eleven,aw-el-eievansifs
TNET VHE,ENHTT EV
OATTS,ATOTS
BUFKIT,IUTFKB
NDS-NG,-NSNDG
NOWFOUND,NOWOUFND
DSR,RSD
CMPL,PMCL
SPR,SRP
SMART SNOW,OWNSSMTRA 
VizGems-C,esiCzmVG-
VizGems-S,e-GszmSiV
SMARTS M&R,&TRS SMARM
NOWATSCSM,SSMNWOCTA
NOWAAI,AIOWNA
NOWphpIPAM,hMPOWppNIA
NOWCMDBATA,WTACDABMNO
DQM,MDQ
RCOP,OCPR
AMP,APM
BBNMS-SE,ENSMBBS-
Planview-CP,Cv-aePniwlP
SLM,MSL
TSearch,hSercaT
COAT,OTAC
FORCE-DCOE,OD-ECCORFE
IoTC SPoG,oGISoT CP
PDM,PDM
CCDB,CCBD
ITO-HPPPM,MPI-TOPHP
MPLS-AL,AMSLL-P
MORT,TOMR
HR Core, eRoHCr
AERO (IPNRC),(PNIRAO CRE)
CSRM,RMCS
CALEA OSS,LS CSOEAA
C-CATS,CASCT-
DH,DH
Alteryx,xAerylt
SSIRS,RSSSI
VHV-AGS,HA-SGVV
CARE-CMS,REMSAC-C
DTV VMS EMS,VDS VESMTM 
ASG,SAG
ATOL,ALOT
PrameshPNW,PWaPeNhrsm
FMESERVER,VFREESEMR
RANAnalysis,sRAlynaiAsN
Insights,gIhitssn
BARE (Automated Battery Saving Mode),ttey idvSma BA MatodtueABgnoaeErR )(
cSON,ONSc
NRT-RSOC,CONRR-TS
Dynatrace,ynDeracta
GRP-CQE E2E,ECEEGRPQ2- 
GRP-CQE TEST SUPPORT SERVICES,EISTPUS O CETGPRREP- SQVSTERC
GSA Whiteboard,bGiahtdAr oSWe
IntelliCollect,oilClttlnIleec
(FED) - IGLOO,ELOO G- F)(ID
Spearline,lSepnriae
TII,TII
COAR,AROC
RANDB,ANRBD
MplsTools,MolpTloss
GoSET,TGEoS
CSMonitoring,MnStiCnrgoio
vAC-GPRS,-GASCRPv
SHOTS,TSHSO
DSF,FDS
ATTBC,BCTAT
ICTRT,TICRT
MIC,MIC
IDP-Commerce-C&P,-DmerPCme-PC&Ico
MTIPS RSA,SSMATR PI
SD-WAN-GESS,-SWNESSDG-A
SBCCS ACCSYS,SSCAS YSCCBC
TFE,ETF
NAM Web, NbMAWe
GRPCTX Ops,RG OTCXspP
IOTAD,ODAIT
SPTL,TSPL
(FED) - DTV-ADE,-ETDV)E -D DA(F
CREME,RCMEE
Mark It,IMt kra
CTX Catchpoint & Automation,otTCmaiA cotiXnCn u hatt&op
ENMT,METN
DTS - MOW,M DSOW T-
VERTEX,ETXEVR
NAVT,TNVA
BMP Alarm,MP ArBlma
MSFT CPLT,LTSM CTFP
GDWEB,GEDBW
"EOD, EODS","SO ,OEDED"
CSD-PIPS,PIP-CSDS
(FED) - PED,D)FPE E- (D
TZSS BCA,ZB SATCS
BRASS (DSL),( SDARS)LBS
T.Data,aTtD.a
ARAMIS-DT,-AAIRTDMS
IDMS,IDMS
UD,UD
IDP-OMNI-ODS,-OIIDDMP-NSO
UPM,UMP
IDP-P13N-Cloud,-oIu1PldD-NCP3
Cricket LogAnalyzer, yiLkAgCltecanzeorr
Cricket Infra,rCt kcarfenIi
Cricket APPMP,MPCcirPtAek P
EAVS,VSEA
GRP-CSTEM,MRPGET-CS
CSST Tools,TColSsTSo 
FINScheduling,SFNhiudneclIg
AMPl,APMl
DA,DA
MOBNT-FN MSP,OTNPFM-NSM B
CWEP,WCPE
Cricket GRASP, AtiPGSekRcrC
Price Card Project,j rPrtcd aCorecieP
UM,MU
ERS8600,S0E06R8
TechOPS-Cacti,tTPehcc-aCOiS
vRR-MIS_GMIS-Cisco,Iv-_IcSGRoCM-SsMRi
TCCSRpts,tpCCTSsR
CTSFD,TSDCF
MSO Regional Packet Core Operations Jumpbox,anMsplet SpktOaPCuneoRoo ociaOg J merri bxe
LDAP-N,L-NPAD
Tridium AX, imTurXiAd
PCRF,CPFR
D2-NTP,PDTN-2
Tipping Point IPS/IDS,tSiIpip InP PioT/DSng
DHCP-N,-NHPDC
DGPIC,PDCIG
D15OCG10,O0G1C51D
CSMC,CSCM
DAP KPI,KAI PPD
RCAP,PCRA
C-NOTE,ECTO-N
pUSP - pSDM Expert,PE xSUp -re pMStpD
ESME,EMSE
DMACS,SCMAD
MDB,DMB
pUSP - pSDM, MSPD-S Upp
GPC,GCP
cMME,cMME
EO,OE
LDS,SDL
vUDR D1.5 LAB,1A D. R5DUvLB
LMFe,FMLe
LTA5ESS,SAEST5L
SIC-NOW,CINW-OS
GICECAP-IIDI-DMACS,-DPC-SGAIACCIEIMDI
GICECAP-MRAM,MIRCE-ACPMAG
GICECAP-GEM,IECPCAMG-GE
Cricket Device Insurance,eiaveniccc nkCItrsereu D
Trade-In,r-dTeIan
Ribbon-NTN-SWe-DSI-Prod,R-iobSrdWPDo-Ne-nbN-TSI
Ribbon-VNI-SGX,SbnGiVIboX--RN
Ribbon-NTN-DSI,SbD-oNITin-bRN
Ribbon-USP-SGX,-RbiXn-GPSUSob
BDMC,MBDC
ARG,RGA
CVaaS,aSCaV
RMAD,DRAM
E-PADD,APED-D
ADOBEANALYTICS,YSDTIAOAACNBLE
vFAPN-DNS,FSNvDNPA-
IES (AP),PEAS( I)
GRP-IBM BOA,GMRBAOIPB -
UTMS,TUSM
Ciena BulkStat,tnaeSaiBuCtlk 
Ciena ESM,ESCainM e
EMART,MAETR
dbsoft,osbtdf
GPS,GPS
CSP-IdM,dPISCM-
SWAPS,SPAWS
SDR,DSR
UAR,URA
CorpFin-ARCS,RFCAorpCni-S
MTRK,KTRM
EDI Billing, igiInDlEBl
ATBS,ASBT
HWKI,HKIW
CTD-PROD,OTP-DRCD
PCRG,PRGC
NETBEEZ,ENBEETZ
OPT,PTO
SKUF,KUFS
Oracle OM,O lcaerMO
CRR Web,C ebRRW
SEAM,AMSE
GBSWorkflow,oWfkSrBoGlw
BVTT,VTBT
e-template,ep-eeatmlt
FBOKB,KBBOF
NOWVAR,AWNVOR
NOWTISC,IWOSNCT
CSOVR,SOCRV
NOWSIR,OINSRW
NOWDiscoGlo,iolNDoOWcsG
NOWVRPO,POONRWV
NOWPAS,WAPOSN
COMPASS 2010,A CP1MO00S2S
Nagios XI,agXIs ioN
fdry_dev,dedyrv_f
ALLOY-NSSE,-SESAOLNYL
IBM TOOLS-MGMT,LMIOTM-GMS BOT
Varicent-ETL,cntEVL-reaiT
SAGE,ASEG
EA Processing,escPgon ArEsi
UUT,UTU
NOWPDSPlatComm,mtODCaWPNmSPlo
NOWMIDMon,NoIWMnMOD
SBCCC,BCSCC
R525,52R5
SWISS,IWSSS
IX 2,X 2I
AA-SN,ANSA-
Desigo CC,igsCeDC o
OCD,DOC
GRSD,GSDR
WCS - ASG,GS-AWC S 
WREAP,EPRAW
VMS,MVS
UPSCUST,PUCUTSS
UPSCUSTOL,SUSUOPLTC
CRUDE,ECRDU
OSTOPS,SOOSTP
IDB-IIU,-IUDIBI
iAM,AiM
RAMP - PLATFORM,PTALOP F- RRMAM
BR-BSF,F-RBSB
WCMD,DWCM
TADA,DATA
ansi,iasn
SCS ABS,BAS SSC
GRP-TVM UP/EBB,PMP U-/GBTRVBE
VertexM,tVxMere
TOPAS,SATOP
BILLING EDGE - GSBE - HIGH END,BG-INSH- EEDDBHNIGI L GL E GE 
TJ/A,T/JA
AON,ONA
Oracle GL,rLa OGecl
EVO,EVO
FCE,CFE
MORE,OERM
CFAS-GL-SUBLEDGER,DFEG-SSCLL-GEURAB
ITN - WNVL, NNWLI VT-
FIMS,FIMS
DCS,CSD
(FED) - BGW,()EF-BW  DG
EFFS-iDBE-EVO-LABS,AVEBE-EFOSLBS-DF-i
DSAIR,DSIRA
ME2,2ME
(FED) - AOTS-CM,SETOM AC-F D-()
EKOS,EOKS
FACILITYASSIGNMENTS,SYNAFTLEICGSIANTSIM
MW Mgmt Tool,glM oomWMt T
TOPSERVER,VERRPOTSE
Everest,vEtsree
CFAS-OIE,FI-ACESO
SDN-ONENET,EOTNEND-NS
SN_CD,_DSCN
DSF Tools, sFDooSlT
STaRT,TSaTR
Juniper-vDBE-Labs,ipr-eBnbDaEJu-vsL
Tetris,etsrTi
OMS-ONEVU,EONU-VMSO
CEBITS,EBITCS
FinInsights,tngsishnFIi
GICECAP-EGRA,ACEG-APGEIRC
INFO CONFIG,CONN IGIFFO
MSch OR,hO SRMc
CDRP,RPDC
Vortex,etxoVr
CDIS,CDIS
CAS,ASC
CAMS,SAMC
CBS-SDN,NB-CDSS
CS:S16M,1CMS:6S
GRP-Satterlee Barker Wireless Transport Team, tekeesTPlan arprt BT Wmeieerstalreoar-rRsGS
TWS Payments,metPWTnSas y
ESC-Admin,-EiSdCmAn
mypro SLM,So ypLrmM
GRP-PM1,PG-PMR1
TC:MM,:MMTC
ORION,IONRO
CCS Cricket Commissions System ,C ctt osns kC oCmsymSseirmeiCiS
SOI,ISO
CLEC MOG,OML GCEC
PEGASUS,ASESPGU
pslntatca01,1asapltcn0t
RSS,SRS
One LASRGUI,U OGLAeSIRn
IPTF3B-B,FI-PBBT3
ASVS-WEB,SSBA-VWE
EPAY ABS,PASEYBA 
Lab-vSRE,v-LRbEaS
KRI,KIR
LMPS,MPLS
PLANET Call Analytics, TtPNclsCyl LanlEiAaA
ILEC Online,InCOLEilne 
VTNS - AM,ATMSNV-  
CARS ABS,AS CABSR
AutoChat,utahtoAC
ASKME2.0,EAS0.2MK
OPCC,PCOC
IRIS,SIRI
SNOWR,NORWS
GRP-DOWD-AAI&A,I&DDGOR-A-APWA
Attend,tdeAtn
NOWHUA,UOWAHN
APPS2.0,PP0A2.S
GRP-NSAS_PST,-S_PRPGSTNSA
O@H-NOW,@OHOWN-
AFTSWM,TAWFSM
GitHub,uHbGit
DAP,PDA
VNF Automation Tools VM,o NVsnV  tlooiuaFmtAMoT
SDN-R,DNRS-
ALTS,STAL
GRP-TEST ATT,GAPTRTETTS -
GRP-Pre-Prod Env/Data,PnaeGrE-dtP -ovra/PRD
LD WOT, OLDWT
PEAT,ETPA
PMOSS_CUR/WUR,W_SPMROUU/CRS
NSSE,NESS
Cerebro,erCbero
AXON,NXAO
IHRConnect,nHnecRItoC
GRP-NIS-SATTERLEE-GIBBONS,LOE-SIRBSRNTAETGPGBN-S-IE
MTAD_DA_API,DAD_PAIAMT_
BUNDLER,DRNLBEU
DSM (FEDI DATA),TMA )SDE DF(AID
PNARS,PASNR
EXPRESSPAYCSR,SEYCARRPPXSSE
EMC-2000,00-M0E2C
NIC,ICN
AAIMSMR,ARMAISM
FDOL,DFLO
F-DT,T-FD
PIZCP-ACE,-EPCPICAZ
PIZCP-TRO,TPZ-IOPRC
GOVCCT,TOCGVC
FULF,FULF
GICECAP-IQGL3D,GEIIDLQC-GPC3A
eCORP CRE Link, LRRCPkCnEO ie
TLG-MOB,TBLGO-M
CARE-LOCAL,AREOLACL-C
CARE-LD,A-DLECR
LDB,LDB
BP3,3PB
CACS PLUS,CUACP SSL
DE,DE
eGBS,GBSe
PROMDNMS,SPOMDRMN
VMG,MVG
USH,HSU
DAD - SE, SE DA-D
EFORC,ERCOF
BCS,BSC
ABSMULE,EMSAUBL
Appl Intf Intg-FM,FAfntMpIgtnpl I -
ACP-TMF640,P40TMFC6-A
